property_id,city,locality,locality_tier,area_type,total_sqft,bhk,bath,balcony,age_years,distance_to_center_km,furnishing,facing,parking_spaces,rera_approved,nearby_schools,nearby_hospitals,price
P00001,Mumbai,Mumbai-Mid-7,Mid,Carpet Area,2383.9,4,4,4,18,12.86,Unfurnished,South,2,1,2,3,25187000.0
P00002,Pune,Pune-Premium-4,Premium,Carpet Area,1472.6,3,2,2,4,2.13,Semi-Furnished,North-East,0,1,2,0,17238000.0
P00003,Pune,Pune-Mid-2,Mid,Built-up Area,1521.7,3,4,1,1,6.89,Unfurnished,West,2,1,0,3,8286000.0
P00004,Pune,Pune-Mid-6,Mid,Plot Area,2281.3,4,5,1,5,6.4,Semi-Furnished,North-East,1,1,1,3,12971000.0
P00005,Pune,Pune-Mid-4,Mid,Plot Area,1287.2,2,2,1,21,12.65,Semi-Furnished,North-East,0,1,2,1,6337000.0
P00006,Hyderabad,Hyderabad-Mid-2,Mid,Built-up Area,1782.2,4,5,1,22,11.62,Semi-Furnished,East,1,0,1,0,8103000.0
P00007,Delhi,Delhi-Premium-1,Premium,Super built-up Area,1738.7,3,4,2,23,4.18,Unfurnished,North-East,1,1,5,0,21894000.0
P00008,Delhi,Delhi-Emerging-1,Emerging,Carpet Area,1887.6,4,5,4,6,23.47,Unfurnished,East,2,1,4,0,9537000.0
P00009,Chennai,Chennai-Mid-3,Mid,Built-up Area,873.0,2,2,2,16,11.27,Unfurnished,North-East,1,1,1,1,4060000.0
P00010,Bengaluru,Bengaluru-Premium-3,Premium,Plot Area,416.5,1,1,1,24,2.08,Fully Furnished,East,1,0,0,0,3460000.0
P00011,Bengaluru,Bengaluru-Mid-4,Mid,Built-up Area,1755.4,4,5,1,23,10.21,Fully Furnished,North,2,1,1,2,8265000.0
P00012,Bengaluru,Bengaluru-Mid-1,Mid,Super built-up Area,1251.0,2,3,2,8,14.16,Semi-Furnished,West,1,0,2,3,5994000.0
P00013,Hyderabad,Hyderabad-Emerging-3,Emerging,Super built-up Area,1072.5,2,3,2,4,12.72,Fully Furnished,North,2,0,1,3,3426000.0
P00014,Mumbai,Mumbai-Mid-5,Mid,Plot Area,1617.8,3,4,0,18,7.62,Unfurnished,North,2,1,4,0,24315000.0
P00015,Delhi,Delhi-Emerging-5,Emerging,Plot Area,995.4,2,1,2,12,14.3,Unfurnished,North,2,1,1,2,4626000.0
P00016,Hyderabad,Hyderabad-Mid-6,Mid,Super built-up Area,1101.5,2,1,2,20,6.24,Unfurnished,North,1,1,1,3,6181000.0
P00017,Pune,Pune-Emerging-3,Emerging,Super built-up Area,580.0,1,2,0,18,18.71,Fully Furnished,North-East,2,1,3,3,2079000.0
P00018,Hyderabad,Hyderabad-Premium-1,Premium,Plot Area,1861.8,4,4,2,19,5.21,Unfurnished,South-East,1,1,5,3,14408000.0
P00019,Bengaluru,Bengaluru-Premium-4,Premium,Super built-up Area,1034.7,2,3,0,22,3.57,Unfurnished,South-East,0,0,3,0,8438000.0
P00020,Mumbai,Mumbai-Premium-3,Premium,Super built-up Area,515.0,1,1,0,20,3.55,Unfurnished,South-East,1,0,4,3,12042000.0
P00021,Pune,Pune-Premium-1,Premium,Super built-up Area,1529.3,2,3,1,7,2.24,Fully Furnished,North,0,0,4,0,14277000.0
P00022,Hyderabad,Hyderabad-Emerging-7,Emerging,Carpet Area,2577.2,5,5,3,15,14.15,Fully Furnished,South-East,1,1,4,2,7881000.0
P00023,Bengaluru,Bengaluru-Premium-3,Premium,Built-up Area,1832.4,3,3,1,12,1.96,Unfurnished,North-East,2,0,5,1,16323000.0
P00024,Chennai,Chennai-Mid-3,Mid,Plot Area,2390.2,4,4,2,19,7.88,Semi-Furnished,West,2,1,5,2,11193000.0
P00025,Pune,Pune-Emerging-1,Emerging,Carpet Area,420.2,1,2,1,4,21.5,Fully Furnished,North,0,1,0,0,1432000.0
P00026,Pune,Pune-Premium-5,Premium,Carpet Area,1658.6,3,4,2,18,4.8,Fully Furnished,South-East,0,1,4,0,11836000.0
P00027,Delhi,Delhi-Mid-6,Mid,Carpet Area,1909.4,3,4,3,20,7.71,Unfurnished,South-East,0,0,3,1,15297000.0
P00028,Chennai,Chennai-Emerging-4,Emerging,Built-up Area,1464.8,3,3,1,3,27.79,Unfurnished,South,2,1,0,0,4927000.0
P00029,Delhi,Delhi-Mid-5,Mid,Built-up Area,558.6,1,1,0,24,9.42,Semi-Furnished,West,0,0,0,3,4135000.0
P00030,Chennai,Chennai-Emerging-3,Emerging,Super built-up Area,606.7,1,2,1,21,15.85,Unfurnished,North,2,1,5,0,1286000.0
P00031,Mumbai,Mumbai-Premium-1,Premium,Super built-up Area,1249.9,3,2,3,6,4.81,Semi-Furnished,North-East,2,1,2,0,37554000.0
P00032,Mumbai,Mumbai-Mid-1,Mid,Plot Area,1621.9,3,3,0,20,6.93,Fully Furnished,North-East,1,1,0,2,21596000.0
P00033,Mumbai,Mumbai-Emerging-1,Emerging,Carpet Area,1836.5,3,4,0,9,19.34,Semi-Furnished,East,0,0,3,1,16703000.0
P00034,Delhi,Delhi-Mid-5,Mid,Built-up Area,1940.5,3,3,2,17,9.74,Unfurnished,North,0,1,4,2,14434000.0
P00035,Delhi,Delhi-Mid-6,Mid,Super built-up Area,721.3,2,2,0,23,9.18,Semi-Furnished,East,1,1,3,2,6017000.0
P00036,Pune,Pune-Mid-6,Mid,Built-up Area,1836.8,3,3,2,13,10.13,Fully Furnished,South-East,1,1,1,3,10740000.0
P00037,Bengaluru,Bengaluru-Emerging-3,Emerging,Super built-up Area,1836.9,3,4,3,20,16.49,Unfurnished,North,2,1,2,3,4828000.0
P00038,Chennai,Chennai-Mid-7,Mid,Carpet Area,894.7,2,2,1,12,14.95,Semi-Furnished,North,2,1,5,2,4303000.0
P00039,Delhi,Delhi-Premium-1,Premium,Carpet Area,1769.1,3,3,3,23,3.34,Unfurnished,West,1,1,1,0,27500000.0
P00040,Hyderabad,Hyderabad-Mid-7,Mid,Super built-up Area,985.6,2,1,2,23,7.33,Semi-Furnished,North-East,1,1,1,0,4125000.0
P00041,Hyderabad,Hyderabad-Mid-7,Mid,Built-up Area,1579.6,3,3,0,18,10.4,Semi-Furnished,West,2,0,2,2,7308000.0
P00042,Delhi,Delhi-Mid-8,Mid,Carpet Area,1748.4,4,3,1,24,11.31,Unfurnished,South,0,0,4,1,12167000.0
P00043,Delhi,Delhi-Mid-3,Mid,Carpet Area,517.0,1,1,1,17,11.2,Fully Furnished,West,2,0,3,3,4230000.0
P00044,Delhi,Delhi-Premium-7,Premium,Carpet Area,1317.4,3,4,2,10,5.91,Semi-Furnished,West,1,1,1,0,20812000.0
P00045,Pune,Pune-Mid-7,Mid,Carpet Area,2740.2,5,4,2,1,5.85,Fully Furnished,East,2,1,0,1,18127000.0
P00046,Hyderabad,Hyderabad-Premium-1,Premium,Plot Area,1335.1,3,2,3,18,4.81,Semi-Furnished,South,2,1,5,2,8795000.0
P00047,Bengaluru,Bengaluru-Premium-6,Premium,Carpet Area,1115.9,2,1,0,10,2.09,Semi-Furnished,East,1,1,3,3,12206000.0
